"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.02207769611515e-73,2.93782805219361,1,0.318,5.53191322273878e-69,"5","SOD2"
1.50536287114357e-72,2.91044966002653,0.96,0.327,2.7555667356283e-68,"5","GBP2"
2.23317589220058e-71,2.64503813458508,0.864,0.232,4.08782847067316e-67,"5","IRF7"
5.49303178368998e-70,2.72167584321744,0.895,0.209,1.00549946800445e-65,"5","LITAF"
2.55131954060534e-69,3.55096148009522,0.429,0.044,4.67019041907808e-65,"5","TLR4"
1.50271508089122e-68,2.84571853249307,0.781,0.161,2.75071995557138e-64,"5","CSF2RB"
1.29174354364186e-67,2.95509167609243,0.989,0.383,2.36453655663642e-63,"5","ISG15"
3.76713742376034e-67,2.28927349201473,0.886,0.328,6.8957450541933e-63,"5","SAMD9L"
3.41986623407564e-66,2.04739525359859,0.784,0.337,6.26006514147546e-62,"5","CHD1"
8.21327665056166e-66,2.64640341199544,0.952,0.362,1.50344029088531e-61,"5","SAT1"
8.89945388523289e-66,4.23824881968646,0.276,0.018,1.62904503369188e-61,"5","CXCR2"
4.62998008745846e-65,2.96412628624699,0.446,0.079,8.47517855009272e-61,"5","RALB"
1.58321929486713e-64,2.49281492378447,0.716,0.27,2.89808291925428e-60,"5","PPP1R15A"
7.36971502648263e-64,3.18417192280701,0.5,0.069,1.34902633559765e-59,"5","ADGRE1"
6.60246368968529e-63,3.38418086213478,0.321,0.031,1.20858097839689e-58,"5","CLEC4D"
7.80983448954403e-62,2.81063370803367,0.736,0.157,1.42959020331103e-57,"5","FCGR2A"
2.09918244631316e-61,2.79797314336824,0.673,0.158,3.84255346797623e-57,"5","OAS3"
1.15487618046062e-57,3.53509343355771,0.514,0.064,2.11400084833317e-53,"5","G0S2"
3.32720576532764e-57,2.49061421782461,0.787,0.214,6.09045015343225e-53,"5","IFI44"
4.3214219353608e-57,3.52624819307619,0.48,0.055,7.91036285267795e-53,"5","LILRA3"
7.89714819452664e-56,3.07196942629169,0.503,0.09,1.4455729770081e-51,"5","FNDC3B"
